transactionHash,blockNumber,timestamp,position,transactionFee,coinbase_transfer,mortgage,reward,cost,premium
0x2350d86b3c745e44523ac9b9577e99a4a86673b829bf484eaf402ac8aab89bdc,14921594,1654615484,5,48941151436030851,0,true,80649841181318933,25000000000000000,none
0xba3f3e96d039e0d9e385270be5a8746e6ab3f29ecdfd722c791a5881c3cacb90,14784339,1652677626,2,18587079056427840,0,true,507313599655700140,500000000000000000,450000000000000
0x0d8cbc5c744ee226afcdbb22dfa4d13babe3094d7ce69480a2a591abc7a632dc,14852895,1653637187,15,26335574636372155,0,true,260028288775133872,230000000000000000,none
0xc6d5dd3e7c22bf33eca0cdb3adc06d052d837b08134c6641367746c7b335e906,14013604,1642297133,0,99614476367967432,500000000000000000,true,3505328816465420636,1900000000000000000,none
0x5a412f58ed01d449ef85fb635fa6f4f381e0228ae00afae22e4aadb9d0c59553,14935984,1654827900,6,30750294144739540,10084020439018557,true,1450420102195092786,1400000000000000000,none
0x2b1faaf39db997cdbf9afaa87a13f5d61873fba5aff28e0b66625d325394c4ce,14865576,1653814918,0,19935093431971770,100000000000000000,true,14107444779358334763,19000000000000000000,none
0xe242c7975370ecd63395c7944534f2cbb451930e416de5c13c2cf0187613dcc7,14638933,1650687747,0,33193573344419723,11047668293485733,true,3455238341467428666,3400000000000000000,none
0x9753fdf8061eeb5370467e8c9a956a11ca10f3b8ce7c42f03af49cb66cc516be,14920144,1654594925,3,13174817218781115,0,true,86490894542366129,69000000000000000,none
0x7ee159118678dc29e9f5c045c18b3ad0ea345049f723cb944d67ccd470bc3075,14518137,1649056624,101,28230996447699924,79535281038543306,true,4659070562077086613,4500000000000000000,none
0x040fe932e227b518730865843e4b89bb6ad1cb62887f4ead46611dec8e4c7177,14953838,1655091414,1,124235170094671614,0,true,9027357684576249177,8880000000000000000,none
0x64126edfdf1c3d0d2392a721815698b586b0c9d697e26985ab60bbdc79dccb06,14860237,1653740406,9,9715442847190328,0,true,251448384599037343,240000000000000000,none
0xca3a571245565352fc2c519dd1c0e93e5f0ccda642040642a35a3d39cf6a2b3f,14551966,1649513352,3,20489637632254200,128071459644258367,true,5722982254286757687,5400000000000000000,none
0x47531501299fc518f7eb931f412905dc6a6a1456f5e8c0101d704b5fa0f7dcc2,14827184,1653275819,6,11390971690099305,0,true,2074662685655921693,2060000000000000000,none
